ID	C_1	C_2	C_3	C_4	C_5	C_6	C_7	C_8	C_9	C_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_18	C_19	HCC_1	HCC_2	HCC_3	HCC_4	HCC_5	HCC_6	HCC_7	HCC_8	HCC_9	HCC_10	HCC_11	HCC_12	HCC_13	HCC_14	HCC_15	HCC_16	HCC_17	HCC_18	HCC_19
O00754	6618.550105	6770.336997	9219.446594	4993.968869	3848.153672	6060.589421	8450.428324	7258.96757	6321.262264	8227.983715	5090.751918	7925.131176	6962.884014	6599.98416	4940.576822	4431.624466	6468.46776	5037.902841	4703.132499	3090.444482	2219.28926	9467.610472	7163.980343	3538.825937	10585.5253	5281.401891	2596.039631	8488.021684	5070.095064	8899.645417	7491.189277	5930.783935	7974.235963	6818.484846	2996.755666	7677.761179	4240.78049	3525.279328
O94875	130720.6982	74967.73896	81112.74901	59862.97979	76760.58872	111710.3689	68033.20141	91018.84392	98163.72433	87686.43707	78661.00798	58010.43842	54237.33528	73983.26731	46965.73923	111285.0552	68649.82865	78888.77729	84750.28887	72108.80649	47014.91775	47673.56724	210836.0958	112582.9913	127420.0275	26645.45943	66894.83003	60133.98651	18400.05614	56730.64953	59346.72352	35365.93632	73268.98907	67202.3035	44784.23468	121764.0737	173012.9503	57737.53465
P17540	638.1824397	0	0	705.5924325	0	0	169.7503212	373.9003757	2336.449631	2809.204445	1076.58819	1583.325478	1936.555548	1391.553588	274.9155858	1065.668445	1859.258945	0	429.2846031	0	518.3227799	4449.993897	894.9401704	0	902.6632745	2042.189625	1663.308416	0	2426.258315	1301.003693	440.5933408	3168.663592	3392.361226	567.4560309	1048.096596	558.1627112	104.8494438	149211.8328
Q8N1S5	0	4767.625415	5357.995502	3324.538192	0	0	3089.598754	0	67.05097354	400.6613039	2007.788607	1.732927177	1448.982952	2514.628392	5195.708786	182.7218597	675.7963049	31.73696165	905.2714769	14637.47356	10778.2358	4414.033723	0	1327.670634	11207.83929	416.3018441	4601.320542	4892.272246	4873.999458	366.4807642	953.2211923	2445.936809	1451.537791	6831.507221	0	1531.623444	405.6862398	0
O60256	4741.39795	3510.61321	5407.280988	8091.380672	4298.218533	3427.036019	2062.422779	3074.787364	4748.353076	2725.363038	3531.739962	1966.63132	3237.874691	3287.099692	3958.930721	3564.542781	2359.807082	4593.129155	3440.257674	3905.374573	3848.586101	4041.718281	3833.124439	1500.645721	2420.897677	3823.425713	3930.111493	3013.019503	731.272931	11550.98747	665.9717446	5912.947063	2242.343628	4210.644397	2272.814583	1786.350149	2637.899647	8339.753381
P43652	300.4076197	9764.487819	4595.793786	9491.810618	901.1453277	203.9827004	2683.75226	382.8007252	14.60022032	4227.119967	6585.074018	3658.985393	1614.022743	6382.723417	10321.15581	2717.085884	1498.994496	3166.225661	1618.465214	16338.25914	1044.645954	1829.637139	2780.362404	7046.540145	5354.397776	296.6456104	2410.953799	2220.268229	2739.569136	2662.35809	589.3826741	5026.407458	3302.085611	5405.966662	5963.446544	15831.32042	4477.930652	4690.41719
Q70UQ0	3430.285419	1332.363741	1999.748472	3971.383499	2604.170962	2411.08931	527.4813151	2726.650859	1020.045638	857.3531832	1204.764076	279.3202921	884.9530936	1078.932743	770.1469008	703.8178797	469.1200776	1404.206877	899.0403661	3454.788949	909.8119785	2126.089907	1931.557824	897.23724	3257.792393	1219.246421	256.1682185	936.0918647	2826.104003	2940.390298	2143.674692	496.7813433	660.590577	3335.322662	3061.356299	4795.135038	1051.694911	3909.759202
Q99489	451.4761137	1510.188478	1103.665542	3072.314571	978.1313235	1150.723861	673.3339855	1103.216788	1524.229347	1150.542672	1346.145142	2159.428838	2243.255702	968.499024	3579.464584	5388.794268	2516.365872	2568.01423	1330.304032	63.43727652	4351.038096	509.2142296	3375.756541	2003.180163	337.440427	6097.257021	1511.997702	1158.285893	341.966333	1346.960738	6.262226103	2514.73959	3692.31924	275.8713994	12059.2221	724.6123209	606.7454468	2787.040805
Q9Y3A6	5966.823203	9651.250898	8660.566137	10598.72279	4443.206057	2489.450087	20494.62742	4013.7728	2796.531994	5335.319233	6575.897527	4427.901604	9531.523621	9589.725595	10320.18525	2690.167016	1756.556965	5187.544894	7758.099147	10057.58121	12146.91862	8364.487595	2012.96961	2339.854694	1029.854183	2871.296374	2327.723818	14464.53883	4353.900306	12065.50003	4186.517604	356.9242611	6644.95465	7577.091573	6797.195348	4557.000635	3905.500794	4974.192871
P25786	161757.2912	72660.24198	127872.0082	112989.6427	155454.0491	170341.2997	88132.07363	202518.8414	246378.6497	187484.2161	105193.3267	174418.7346	107570.443	109094.7411	129411.2164	181950.8561	132993.5736	109994.1893	90938.1401	100969.4574	81045.58604	134547.8137	208662.2618	166513.4372	89212.07231	138609.7088	173819.3457	173722.184	71831.26675	184217.1817	90952.65442	102508.4716	139829.1521	101243.1345	85035.42041	106419.2517	85795.04991	127019.3808
